,YEAR,COUNTY,VIOLENT,F_DRUGOFF,total_population,drug_rate,violent_rate,treated,post_2010
2052,2004,Trinity County,81,45,13327.6,337.6451874305951,607.7613373750712,1,0
2053,2005,Trinity County,79,65,13404.0,484.9298716800955,589.3763055804238,1,0
2054,2006,Trinity County,67,41,13480.4,304.14527758820213,497.01789264413515,1,0
2055,2007,Trinity County,54,61,13556.8,449.95869231677096,398.3240882804202,1,0
2056,2008,Trinity County,56,51,13633.2,374.08678813484727,410.7619634421852,1,0
2057,2009,Trinity County,65,63,13709.6,459.53200676897944,474.1203244441851,1,0
2087,2000,Tulare County,2014,1454,368021.0,395.0861499751373,547.2513796767032,1,0
2088,2001,Tulare County,2147,1547,375436.8,412.05337356380625,571.8672223926903,1,0
2089,2002,Tulare County,2153,1866,382852.6,487.3938429567933,562.3574190171362,1,0
2090,2003,Tulare County,2265,1940,390268.4,497.0937949370228,580.3698172847199,1,0
2091,2004,Tulare County,2164,1913,397684.2,481.0349518537573,544.1503585005389,1,0
2092,2005,Tulare County,2267,2207,405100.0,544.8037521599605,559.6149098987904,1,0
2093,2006,Tulare County,2425,2269,412515.8,550.0395378795188,587.8562712022182,1,0
2094,2007,Tulare County,2398,2227,419931.6,530.3244623648233,571.0453797713724,1,0
2095,2008,Tulare County,2144,1822,427347.4,426.3510202706276,501.6995540396408,1,0
2096,2009,Tulare County,2183,1681,434763.2,386.6472599336835,502.11241429817426,1,0
2126,2000,Tuolumne County,114,100,54501.0,183.48287187391057,209.17047393625805,1,0
2127,2001,Tuolumne County,161,147,54587.4,269.2929137493268,294.93985791592934,1,0
2128,2002,Tuolumne County,135,163,54673.8,298.1318291393684,246.9189995939554,1,0
2129,2003,Tuolumne County,162,181,54760.2,330.532028736199,295.83529643792394,1,0
2130,2004,Tuolumne County,155,253,54846.6,461.28657017937303,282.6063967502088,1,0
2131,2005,Tuolumne County,145,240,54933.0,436.89585495057617,263.95791236597313,1,0
2132,2006,Tuolumne County,154,184,55019.4,334.4274928479773,279.90127118798097,1,0
2133,2007,Tuolumne County,145,254,55105.8,460.93151719056794,263.1301968213872,1,0
2134,2008,Tuolumne County,150,209,55192.2,378.6766970695134,271.77753378194745,1,0
2135,2009,Tuolumne County,160,209,55278.6,378.08482848697327,289.44293089911827,1,0
2204,2000,Yolo County,644,675,168660.0,400.21344717182495,381.8332740424523,1,0
2205,2001,Yolo County,675,840,171878.9,488.716183312786,392.71836159063156,1,0
2206,2002,Yolo County,836,817,175097.8,466.5963821361548,477.44746079048394,1,0
2207,2003,Yolo County,866,913,178316.7,512.010372556244,485.65277396901126,1,0
2208,2004,Yolo County,801,769,181535.6,423.6083721319675,441.23576863160724,1,0
2209,2005,Yolo County,749,879,184754.5,475.76649012608624,405.40284539754106,1,0
2210,2006,Yolo County,803,819,187973.4,435.6999447794209,427.1881021463675,1,0
2211,2007,Yolo County,700,699,191192.3,365.60049750957546,366.123531125469,1,0
2212,2008,Yolo County,587,632,194411.2,325.0841515303645,301.9373369435506,1,0
2213,2009,Yolo County,585,614,197630.1,310.68141948012976,296.00754136136146,1,0
2243,2000,Yuba County,429,228,60219.0,378.618044138893,712.3997409455487,1,0
2244,2001,Yuba County,520,349,61412.6,568.2872895790115,846.7317781693008,1,0
2245,2002,Yuba County,544,363,62606.2,579.8147787279854,868.9235251460718,1,0
2246,2003,Yuba County,549,376,63799.8,589.3435402618817,860.5042649036517,1,0
2247,2004,Yuba County,530,368,64993.4,566.211338382051,815.467416691541,1,0
2248,2005,Yuba County,520,350,66187.0,528.8047501775274,785.6527716923264,1,0
2249,2006,Yuba County,385,351,67380.6,520.9214521687251,571.3810800141287,1,0
2250,2007,Yuba County,416,309,68574.2,450.60678797565265,606.6421482131764,1,0
2251,2008,Yuba County,375,214,69767.8,306.7317587769716,537.497240847497,1,0
2252,2009,Yuba County,354,211,70961.4,297.34475362661954,498.86276200864137,1,0
