,YEAR,COUNTY,VIOLENT,F_DRUGOFF,total_population,drug_rate,violent_rate,treated,post_2010
769,2008,Madera County,556,402,145313.8,276.6426863794079,382.62023290286265,0,0
770,2009,Madera County,453,260,148089.4,175.5696221336571,305.89630317902567,0,0
800,2000,Marin County,498,338,247289.0,136.68218157702123,201.3838059921792,0,0
801,2001,Marin County,520,328,247801.0,132.36427617321965,209.84580368925066,0,0
802,2002,Marin County,500,321,248313.0,129.27232968068526,201.35876897303,0,0
803,2003,Marin County,562,396,248825.0,159.14799557922237,225.86154928162364,0,0
804,2004,Marin County,582,392,249337.0,157.2169393230848,233.41902726029429,0,0
805,2005,Marin County,544,425,249849.0,170.10274205620195,217.7315098319385,0,0
806,2006,Marin County,569,515,250361.0,205.70296491865744,227.2718194926526,0,0
807,2007,Marin County,527,515,250873.0,205.2831512358843,210.06644796371074,0,0
808,2008,Marin County,528,464,251385.0,184.57744097698748,210.03639835312367,0,0
809,2009,Marin County,500,454,251897.0,180.2323965747905,198.49382882686177,0,0
839,2000,Mariposa County,70,56,17130.0,326.9118505545826,408.63981319322824,0,0
840,2001,Mariposa County,57,42,17242.1,243.5898179456099,330.58618149761344,0,0
841,2002,Mariposa County,60,41,17354.2,236.2540480114324,345.7376312362425,0,0
842,2003,Mariposa County,78,30,17466.3,171.7593308256471,446.5742601466825,0,0
843,2004,Mariposa County,86,68,17578.4,386.8383925727028,489.2367906066535,0,0
844,2005,Mariposa County,68,58,17690.5,327.85958565331674,384.38710042112996,0,0
845,2006,Mariposa County,59,44,17802.6,247.1549099569726,331.4122656241223,0,0
846,2007,Mariposa County,86,44,17914.7,245.60835514968156,480.05269415619574,0,0
847,2008,Mariposa County,63,36,18026.8,199.70266492111747,349.4796636119556,0,0
848,2009,Mariposa County,64,46,18138.9,253.5986195414275,352.83286197068173,0,0
956,2000,Modoc County,51,23,9449.0,243.41200126997563,539.739654989946,0,0
957,2001,Modoc County,54,10,9472.7,105.56652274430732,570.0592228192595,0,0
958,2002,Modoc County,49,9,9496.4,94.77275599174425,515.9850048439409,0,0
959,2003,Modoc County,63,10,9520.1,105.04091343578322,661.7577546454344,0,0
960,2004,Modoc County,44,17,9543.8,178.12611328820807,461.0322932165385,0,0
961,2005,Modoc County,55,10,9567.5,104.52051215050955,574.8628168278025,0,0
962,2006,Modoc County,62,33,9591.2,344.0653932771707,646.4258903995328,0,0
963,2007,Modoc County,48,39,9614.9,405.62044327034084,499.2251609481118,0,0
964,2008,Modoc County,59,12,9638.6,124.49940862780902,612.122092420061,0,0
965,2009,Modoc County,47,10,9662.3,103.49502706394959,486.4266272005631,0,0
995,2000,Mono County,34,23,12853.0,178.94654944370964,264.52968178635336,0,0
996,2001,Mono County,50,16,12987.9,123.19158601467521,384.97370629586,0,0
997,2002,Mono County,32,26,13122.8,198.12844819703113,243.8503977809614,0,0
998,2003,Mono County,45,23,13257.7,173.4840884919707,339.42539052776874,0,0
999,2004,Mono County,46,22,13392.6,164.26982064722307,343.4732613532846,0,0
1000,2005,Mono County,58,36,13527.5,266.12456107928296,428.75623729440025,0,0
1001,2006,Mono County,46,39,13662.4,285.4549713081157,336.6904789788031,0,0
1002,2007,Mono County,51,31,13797.3,224.68164061084417,369.63753777913075,0,0
1003,2008,Mono County,48,45,13932.2,322.99277931697793,344.5256312714431,0,0
1004,2009,Mono County,52,38,14067.1,270.1338584356406,369.6568589119293,0,0
1034,2000,Monterey County,1704,1159,401762.0,288.4792489085578,424.13169986210744,0,0
1035,2001,Monterey County,1639,1048,403091.5,259.99059766827133,406.6074328037182,0,0
1036,2002,Monterey County,1515,1006,404421.0,248.75068307531015,374.6096270965158,0,0
1037,2003,Monterey County,1623,1018,405750.5,250.893098098462,399.9995070862513,0,0
1038,2004,Monterey County,1428,1076,407080.0,264.3215092856441,350.7909993121745,0,0
1039,2005,Monterey County,1538,1200,408409.5,293.8227440840627,376.5828170010737,0,0
1040,2006,Monterey County,1537,1144,409739.0,279.2021262315767,375.1168426730187,0,0
1041,2007,Monterey County,1583,1088,411068.5,264.6760819668741,385.09396852349425,0,0
1042,2008,Monterey County,1489,1014,412398.0,245.87898098438885,361.0589770076479,0,0
1043,2009,Monterey County,1385,967,413727.5,233.7287224078651,334.7614069647292,0,0
1073,2000,Napa County,284,382,124279.0,307.3729270431851,228.5180923567135,0,0
1074,2001,Napa County,348,373,125499.5,297.21233949139236,277.29194140215697,0,0
1075,2002,Napa County,322,408,126720.0,321.96969696969694,254.10353535353534,0,0
1076,2003,Napa County,347,336,127940.5,262.622078231678,271.2198248404532,0,0
1077,2004,Napa County,396,346,129161.0,267.882720016104,306.59409574097447,0,0
1078,2005,Napa County,362,376,130381.5,288.38447172336566,277.64675203153826,0,0
1079,2006,Napa County,385,432,131602.0,328.2624884120302,292.54874545979544,0,0
1080,2007,Napa County,386,381,132822.5,286.8489901936795,290.61341263716616,0,0
1081,2008,Napa County,283,290,134043.0,216.34848518758906,211.12628037271622,0,0
1082,2009,Napa County,367,325,135263.5,240.27176584961944,271.32227097480103,0,0
1112,2000,Nevada County,239,131,92033.0,142.34024751991134,259.6894592157161,0,0
1113,2001,Nevada County,262,184,92706.1,198.47669139355446,282.6135497016917,0,0
